,sample,iou,intersection,union,gt_area,segmentation_area,gt_x_center,gt_y_center,segmentation_x_center,segmentation_y_center,x_distance,y_distance,euclidean_distance,x_size,y_size
0,0306.jpg,0.002244705610802285,1167,519890,1167,519890,551.3676092544987,509.3513281919452,545.4809517397911,535.9770528381003,5.886657514707622,-26.625724646155163,27.268699082067304,1024,1024
1,0425.jpg,0.07444561774023231,11985,160990,11985,160990,517.5425949103045,437.6881101376721,564.436654450587,498.4467296105348,-46.894059540282456,-60.75861947286273,76.75065250807768,1024,1024
2,0561.jpg,0.17015147122771415,37564,220768,37566,220766,654.4797955598148,441.1052813714529,778.328483552721,562.6865776432966,-123.8486879929062,-121.58129627184366,173.55261196739752,1024,1024
3,0534.jpg,0.08617409989754563,47522,551465,47522,551465,536.5221581583266,572.3125920626236,538.6109236306928,715.2307743918471,-2.0887654723661626,-142.91818232922355,142.93344528656593,1024,1024
4,0761.jpg,0.0033208054965625845,1609,484521,1609,484521,367.7041640770665,322.37041640770667,533.8084561866256,505.2807515050947,-166.10429210955908,-182.91033509738804,247.07656008342136,1024,1024
5,0385.jpg,0.035574146213395205,10027,281862,10027,281862,526.7629400618331,460.5290715069313,311.8405638220122,545.5871632217185,214.9223762398209,-85.05809171478717,231.1417460666339,1024,1024
6,0447.jpg,0.20703063540940864,9211,44491,9211,44491,378.59211811963957,452.0273585929867,450.1211256209121,527.631161358477,-71.52900750127253,-75.60380276549034,104.07849877241826,1024,1024
7,0190.jpg,0.0346797225622195,2550,73530,2550,73530,488.5854901960784,545.5411764705882,540.549218006256,510.70679994560044,-51.963727810177545,34.83437652498776,62.55927425901644,1024,1024
8,0577.jpg,0.260965237816645,29886,114521,29915,114492,429.73077051646334,484.5527327427712,425.88034098452295,627.2877930335744,3.8504295319403923,-142.73506029080323,142.78698555470547,1024,1024
9,0572.jpg,0.39096620529584036,32173,82291,32502,81962,447.6238385330133,553.0398129345887,398.6359776481784,529.3835313925965,48.9878608848349,23.656281541992144,54.40064494531233,1024,1024
10,0458.jpg,0.20364539447425606,9184,45098,9184,45098,613.2473867595819,568.6842334494773,661.0415539491773,543.8969355625527,-47.79416718959544,24.787297886924648,53.83950737035157,1024,1024
11,0105.jpg,0.04059194932977473,2038,50207,2038,50207,516.3670264965652,519.9833169774289,538.4437229868345,612.2764554743362,-22.076696490269228,-92.29313849690732,94.89680680366848,1024,1024
12,0274.jpg,0.00370505429532985,1331,359239,1332,359238,493.4527027027027,472.61036036036035,577.7461014703345,511.6517211430862,-84.29339876763174,-39.04136078272586,92.89566689338069,1024,1024
13,0680.jpg,0.15918925440360332,9896,62165,9896,62165,538.2446443007276,520.7535367825384,500.93219657363466,556.2142202203812,37.312447727092945,-35.46068343784282,51.47503108562387,1024,1024
14,0347.jpg,0.09079902176963477,11324,124715,11324,124715,624.9443659484281,514.651624867538,651.8263961832979,487.21854628553103,-26.88203023486983,27.433078582006942,38.40855829154518,1024,1024
15,0009.jpg,0.01560159280931102,2437,156202,2437,156202,516.3943372999589,327.06729585556013,496.56467906941015,475.27847274682784,19.829658230548773,-148.2111768912677,149.53183039418403,1024,1024
16,0646.jpg,0.03931445842444503,3434,87347,3434,87347,571.1974373907979,502.03232382061736,392.06864574627633,630.158894982083,179.12879164452153,-128.12657116146562,220.23519753577202,1024,1024
17,0672.jpg,0.03979286907098702,5433,136532,5433,136532,543.6882017301675,478.4143198969262,489.81674625728766,531.1755119678903,53.87145547287986,-52.761192070964114,75.40475517840797,1024,1024
18,0195.jpg,0.038218867924528305,2532,66250,2532,66250,501.59399684044234,514.9435229067931,540.0044226415094,473.43763018867924,-38.410425801067106,41.50589271811384,56.55174568965009,1024,1024
19,0524.jpg,0.08408944564771996,37349,444158,37355,444152,404.94016865212154,555.5886494445188,580.7606765251536,309.87502476629624,-175.82050787303206,245.71362467822252,302.139100980395,1024,1024
20,0690.jpg,0.03942149115008982,6430,163109,6430,163109,623.210730948678,528.1071539657854,565.3568349999081,473.2453144829531,57.853895948769946,54.861839482832295,79.73013676077043,1024,1024
21,0048.jpg,0.07467419051457745,2779,37215,2779,37215,512.7794170564952,418.1694854264124,521.487061668682,411.0155313717587,-8.707644612186868,7.1539540546536955,11.269522319434975,1024,1024
22,0506.jpg,0.0329781152839808,7096,215173,7096,215173,573.7206877113867,511.6371195039459,506.5422148689659,550.5500318348492,67.17847284242083,-38.91291233090328,77.6347986376756,1024,1024
23,0020.jpg,0.017861720513689852,2160,120929,2160,120929,442.8865740740741,550.75,467.26775215208926,410.9213009286441,-24.381178078015182,139.8286990713559,141.93839131277943,1024,1024
24,0551.jpg,0.35054842907603645,37712,107580,37714,107578,519.3905446253381,575.7030545685952,612.3449775976501,590.4144527691535,-92.95443297231202,-14.711398200558278,94.11138000379889,1024,1024
25,0704.jpg,0.02269482088764754,6151,271031,6151,271031,477.0169078198667,516.7021622500406,555.2201408694947,537.9745305887518,-78.20323304962801,-21.272368338711203,81.0447981930502,1024,1024
26,0334.jpg,0.0962258236996884,10438,108474,10439,108473,515.4443912252132,487.8272823067344,602.4760908244448,397.78746784914216,-87.03169959923162,90.03981445759223,125.22653441938145,1024,1024
