,sample,iou,intersection,union,gt_area,segmentation_area,gt_x_center,gt_y_center,segmentation_x_center,segmentation_y_center,x_distance,y_distance,euclidean_distance,x_size,y_size
0,0306.jpg,0.0011294153170782694,1167,1033278,1167,1033278,551.3676092544987,509.3513281919452,512.1167623814695,511.5358228859997,39.25084687302922,-2.1844946940545356,39.31158858807845,1024,1024
1,0425.jpg,0.01473720193594082,11985,813248,11985,813248,517.5425949103045,437.6881101376721,508.29843172070514,468.1540981348863,9.244163189599362,-30.4659879972142,31.83757179375248,1024,1024
2,0561.jpg,0.09665368208178744,37566,388666,37566,388666,654.4797955598148,441.1052813714529,791.9485470815558,524.4336396803425,-137.46875152174107,-83.32835830888956,160.75220976210832,1024,1024
3,0534.jpg,0.07255012419411226,47522,655023,47522,655023,536.5221581583266,572.3125920626236,522.1489291215728,653.0819101008667,14.373229036753855,-80.76931803824311,82.03823772672014,1024,1024
4,0761.jpg,0.001643836176247027,1609,978808,1609,978808,367.7041640770665,322.37041640770667,511.88932456620705,527.2673629557585,-144.18516048914057,-204.8969465480518,250.54364731518223,1024,1024
5,0385.jpg,0.024455381793703598,10027,410012,10027,410012,526.7629400618331,460.5290715069313,360.716459518258,548.6564198121031,166.04648054357511,-88.12734830517178,187.98367806862632,1024,1024
6,0447.jpg,0.015300766118047296,9211,601996,9211,601996,378.59211811963957,452.0273585929867,499.4433418162247,532.2130130432761,-120.85122369658512,-80.1856544502894,145.03364247161164,1024,1024
7,0190.jpg,0.005413759866842738,2550,471022,2550,471022,488.5854901960784,545.5411764705882,484.10030317055254,489.7790612752695,4.485187025525875,55.7621151953187,55.94220583521835,1024,1024
8,0577.jpg,0.06693816359181481,29915,446905,29915,446905,429.73077051646334,484.5527327427712,391.0527539409942,524.6842058155537,38.678016575469144,-40.13147307278251,55.736200957759344,1024,1024
9,0572.jpg,0.08963769295049821,32502,362593,32502,362593,447.6238385330133,553.0398129345887,437.47552765773196,496.90161420656216,10.148310875281368,56.13819872802651,57.048098741752575,1024,1024
10,0458.jpg,0.014724626713717921,9184,623717,9184,623717,613.2473867595819,568.6842334494773,507.20588664410303,534.149803516659,106.04150011547887,34.5344299328184,111.52321102589293,1024,1024
11,0105.jpg,0.0067076983839647174,2038,303830,2038,303830,516.3670264965652,519.9833169774289,453.8400223809367,621.3685251620972,62.52700411562853,-101.38520818466827,119.11585403431549,1024,1024
12,0274.jpg,0.0013817943408675013,1332,963964,1332,963964,493.4527027027027,472.61036036036035,511.11498977140224,532.4437997684561,-17.662287068699527,-59.83343940809573,62.38587064311448,1024,1024
13,0680.jpg,0.014999348249823422,9896,659762,9896,659762,538.2446443007276,520.7535367825384,463.1440276948354,509.9154134369667,75.10061660589218,10.838123345571717,75.87863686334275,1024,1024
14,0347.jpg,0.03687410248812272,11324,307099,11324,307099,624.9443659484281,514.651624867538,605.6357461274703,484.2783499783458,19.3086198209578,30.373274889192203,35.991090937685094,1024,1024
15,0009.jpg,0.002714116748227527,2437,897898,2437,897898,516.3943372999589,327.06729585556013,505.64353189337766,529.152121955946,10.750805406581264,-202.08482610038584,202.37059261887177,1024,1024
16,0646.jpg,0.003966351845670336,3434,865783,3434,865783,571.1974373907979,502.03232382061736,483.86386196079155,532.4134996875661,87.3335754300063,-30.381175866948695,92.46712520916321,1024,1024
17,0672.jpg,0.005910805906236537,5433,919164,5433,919164,543.6882017301675,478.4143198969262,508.6219260110274,513.5070749071983,35.066275719140094,-35.09275501027213,49.60992992357209,1024,1024
18,0195.jpg,0.008134835214969124,2532,311254,2532,311254,501.59399684044234,514.9435229067931,558.2246075552442,551.218368277998,-56.63061071480189,-36.27484537120495,67.25243844379372,1024,1024
