,sample,iou,intersection,union,gt_area,segmentation_area,gt_x_center,gt_y_center,segmentation_x_center,segmentation_y_center,x_distance,y_distance,euclidean_distance,x_size,y_size
0,0306.jpg,0.011171578584294638,1166,104372,1167,104371,551.3676092544987,509.3513281919452,566.13230686685,528.7203820984756,-14.764697612351256,-19.36905390653044,24.354805374263474,1024,1024
1,0425.jpg,0.20850367947669665,11985,57481,11985,57481,517.5425949103045,437.6881101376721,552.934430507472,457.06974478523335,-35.39183559716753,-19.38163464756127,40.35132945205749,1024,1024
2,0561.jpg,0.27591132315802647,37474,135819,37566,135727,654.4797955598148,441.1052813714529,755.7198125649281,573.2420373249242,-101.24001700511337,-132.13675595347132,166.46219786216594,1024,1024
3,0534.jpg,0.10730878673959167,47441,442098,47522,442017,536.5221581583266,572.3125920626236,546.5237762348507,708.7761194705181,-10.001618076524096,-136.4635274078945,136.82955337482406,1024,1024
4,0761.jpg,0.01157167530224525,1608,138960,1609,138959,367.7041640770665,322.37041640770667,529.7579501867457,450.3091487417152,-162.0537861096792,-127.93873233400853,206.46972858924076,1024,1024
5,0385.jpg,0.07468857989446423,10007,133983,10027,133963,526.7629400618331,460.5290715069313,274.11977934205714,502.5668729425289,252.64316071977595,-42.0378014355976,256.11665976272855,1024,1024
6,0447.jpg,0.4616811187409152,9211,19951,9211,19951,378.59211811963957,452.0273585929867,389.7707383088567,455.24820810986915,-11.178620189217156,-3.220849516882481,11.633375303203087,1024,1024
7,0190.jpg,0.12761485336803122,2550,19982,2550,19982,488.5854901960784,545.5411764705882,498.13917525773195,535.6855169652688,-9.553685061653539,9.855659505319409,13.726140118112404,1024,1024
8,0577.jpg,0.5038809257384416,28369,56301,29915,54755,429.73077051646334,484.5527327427712,448.24182266459684,564.6641585243357,-18.5110521481335,-80.11142578156449,82.22225728101871,1024,1024
9,0572.jpg,0.5068190892470633,24118,47587,32502,39203,447.6238385330133,553.0398129345887,411.6595158533786,560.8983751243527,35.96432267963473,-7.858562189764029,36.8128986293565,1024,1024
10,0458.jpg,0.4300229432972796,9184,21357,9184,21357,613.2473867595819,568.6842334494773,624.6021444959498,562.6935431006227,-11.354757736367901,5.990690348854628,12.838181105883601,1024,1024
11,0105.jpg,0.16592037775787674,2038,12283,2038,12283,516.3670264965652,519.9833169774289,527.7159488724253,530.6901408450705,-11.34892237586007,-10.70682386764156,15.602375345632355,1024,1024
12,0274.jpg,0.010730532728932846,1328,123759,1332,123755,493.4527027027027,472.61036036036035,682.9015878146338,405.43768736616704,-189.44888511193108,67.1726729941933,201.00509463030653,1024,1024
13,0680.jpg,0.44481997206074536,9871,22191,9896,22166,538.2446443007276,520.7535367825384,532.3765226021835,542.1116574934584,5.868121698544087,-21.358120710920048,22.14958628442427,1024,1024
14,0347.jpg,0.17312132099992356,11323,65405,11324,65404,624.9443659484281,514.651624867538,666.2823374717143,504.1263837074185,-41.33797152328623,10.525241160119492,42.656870386125334,1024,1024
15,0009.jpg,0.14946335479914136,2437,16305,2437,16305,516.3943372999589,327.06729585556013,507.38190739037105,337.5444955535112,9.012429909587865,-10.47719969795105,13.820116004794588,1024,1024
16,0646.jpg,0.21242881901460758,3432,16156,3434,16154,571.1974373907979,502.03232382061736,490.4241054847097,626.7957781354463,80.77333190608817,-124.76345431482895,148.62789334367721,1024,1024
