,threshold,sample,iou,intersection,union,gt_area,segmentation_area,gt_x_center,gt_y_center,segmentation_x_center,segmentation_y_center,x_distance,y_distance,euclidean_distance,x_size,y_size
1039,0.7,0374.jpg,0.46590310689836756,7078,15192,13673,8597,519.4796313903313,397.74606889490235,499.3087123415145,408.0703733860649,20.170919048816813,-10.324304491162536,22.659594844130815,1024,1024
1040,0.7,0331.jpg,0.1698164305815583,14422,84927,14959,84390,368.8183033625242,545.9124941506785,403.5680767863491,507.9768692973101,-34.74977342382488,37.93562485336844,51.445683842502,1024,1024
1041,0.7,0133.jpg,0.35772904614556705,2659,7433,2665,7427,524.9444652908068,478.3748592870544,529.5418069206947,466.5212064090481,-4.597341629887978,11.8536528780063,12.713954405068792,1024,1024
1042,0.7,0695.jpg,0.31862745098039214,3900,12240,4386,11754,456.99612403100775,508.66051071591426,494.20248426067724,494.04211332312406,-37.206360229669485,14.6183973927902,39.97512706513222,1024,1024
1043,0.8,0306.jpg,0.5839112343966713,842,1442,1167,1117,551.3676092544987,509.3513281919452,555.3545210384959,507.76275738585497,-3.986911783997243,1.5885708060902175,4.291738899250303,1024,1024
1044,0.8,0425.jpg,0.7616008032704583,10619,13943,11985,12577,517.5425949103045,437.6881101376721,525.2979247833347,440.5553788661843,-7.755329873030178,-2.867268728512215,8.26839593881536,1024,1024
1045,0.8,0561.jpg,0.39842219516069255,15050,37774,37566,15258,654.4797955598148,441.1052813714529,638.2816882946651,404.6394678201599,16.1981072651497,36.465813551293024,39.90155682339928,1024,1024
1046,0.8,0534.jpg,0.1485937018030902,10598,71322,47522,34398,536.5221581583266,572.3125920626236,521.221350078493,494.2533868248154,15.3008080798337,78.05920523780821,79.5446682704389,1024,1024
1047,0.8,0761.jpg,0.03412576687116564,89,2608,1609,1088,367.7041640770665,322.37041640770667,387.4071691176471,282.15808823529414,-19.703005040580592,40.212328172412526,44.779903357141656,1024,1024
1048,0.8,0385.jpg,0.2662549522255884,4570,17164,10027,11707,526.7629400618331,460.5290715069313,544.5520628683694,401.4352097035961,-17.789122806536284,59.09386180333519,61.713348580819265,1024,1024
1049,0.8,0447.jpg,0.7076517150395778,8046,11370,9211,10205,378.59211811963957,452.0273585929867,376.8865262126409,446.9592356687898,1.7055919069986771,5.068122924196871,5.347421222233127,1024,1024
1050,0.8,0190.jpg,0.6187403993855607,2014,3255,2550,2719,488.5854901960784,545.5411764705882,481.65943361529975,550.2478852519308,6.926056580778663,-4.706708781342627,8.37396962691621,1024,1024
1051,0.8,0577.jpg,0.2288904396371249,6888,30093,29915,7066,429.73077051646334,484.5527327427712,475.33187093121995,494.06977073308803,-45.601100414756615,-9.517037990316851,46.58362771560251,1024,1024
1052,0.8,0572.jpg,0.1056338028169014,3435,32518,32502,3451,447.6238385330133,553.0398129345887,490.2416690814257,599.5212981744422,-42.61783054841237,-46.481485239853555,63.06193741676444,1024,1024
1053,0.8,0458.jpg,0.7870574640193297,7492,9519,9184,7827,613.2473867595819,568.6842334494773,613.7889357352753,563.3367829308803,-0.5415489756934448,5.347450518597043,5.374802539807244,1024,1024
1054,0.8,0105.jpg,0.5107734806629834,1849,3620,2038,3431,516.3670264965652,519.9833169774289,523.446225590207,511.4704167881084,-7.079199093641705,8.512900189320476,11.07178980295192,1024,1024
1055,0.8,0274.jpg,0.01602870813397129,134,8360,1332,7162,493.4527027027027,472.61036036036035,873.1433956995253,368.802010611561,-379.6906929968226,103.80834974879934,393.62570524036715,1024,1024
1056,0.8,0680.jpg,0.5288412971007173,5235,9899,9896,5238,538.2446443007276,520.7535367825384,539.5815196639938,535.4484536082474,-1.3368753632662447,-14.694916825709015,14.75560287658265,1024,1024
