,sample,iou,intersection,union,gt_area,segmentation_area,gt_x_center,gt_y_center,segmentation_x_center,segmentation_y_center,x_distance,y_distance,euclidean_distance,x_size,y_size
0,0306.jpg,0.0013297448075003532,1167,877612,1167,877612,551.3676092544987,509.3513281919452,525.9292124537951,537.9364331845964,25.438396800703572,-28.585104992651168,38.26513111477519,1024,1024
1,0425.jpg,0.03402036396254212,11985,352289,11985,352289,517.5425949103045,437.6881101376721,551.0828808166023,535.3680046779774,-33.540285906297754,-97.67989454030533,103.2778416509629,1024,1024
2,0561.jpg,0.11055977397139326,37566,339780,37566,339780,654.4797955598148,441.1052813714529,798.9037553711225,548.4807846253458,-144.42395981130778,-107.37550325389287,179.96604920541265,1024,1024
3,0534.jpg,0.08264465684433128,47522,575016,47522,575016,536.5221581583266,572.3125920626236,534.9881672857799,704.8232205712536,1.533990872546724,-132.51062850863002,132.51950722723507,1024,1024
4,0761.jpg,0.001934829088093045,1609,831598,1609,831598,367.7041640770665,322.37041640770667,521.955259632659,526.1898333088824,-154.25109555559254,-203.8194169011757,255.6085976371605,1024,1024
5,0385.jpg,0.027702109084479416,10027,361958,10027,361958,526.7629400618331,460.5290715069313,342.28985130871536,556.9888219075141,184.47308875311774,-96.45975040058278,208.1701321550678,1024,1024
6,0447.jpg,0.04460986347279869,9211,206479,9211,206479,378.59211811963957,452.0273585929867,496.2640316932957,595.633120075165,-117.67191357365613,-143.60576148217837,185.65907996907208,1024,1024
7,0190.jpg,0.012533976907990779,2550,203447,2550,203447,488.5854901960784,545.5411764705882,519.0393124499255,518.6878351610002,-30.453822253847136,26.853341309588018,40.60218256889821,1024,1024
8,0577.jpg,0.11199131443974393,29914,267110,29915,267109,429.73077051646334,484.5527327427712,394.93654650348736,580.1177871206137,34.794224012975974,-95.5650543778425,101.7021024507613,1024,1024
9,0572.jpg,0.14919850902480675,32502,217844,32502,217844,447.6238385330133,553.0398129345887,417.38583573566405,469.2456620333817,30.23800279734928,83.79415090120699,89.08308783616984,1024,1024
10,0458.jpg,0.050307299597936,9184,182558,9184,182558,613.2473867595819,568.6842334494773,556.8904950755376,530.0521478105588,56.356891684044285,38.63208563891851,68.32669523034049,1024,1024
11,0105.jpg,0.012762626420765883,2038,159685,2038,159685,516.3670264965652,519.9833169774289,496.06350001565585,592.799524062999,20.303526480909397,-72.81620708557011,75.59387013435428,1024,1024
12,0274.jpg,0.001843746626026726,1332,722442,1332,722442,493.4527027027027,472.61036036036035,525.4054789173387,559.7112321819607,-31.952776214635946,-87.10087182160032,92.77683859620058,1024,1024
13,0680.jpg,0.03334669986959203,9896,296761,9896,296761,538.2446443007276,520.7535367825384,462.94969689413364,532.8393286179788,75.29494740659396,-12.085791835440432,76.25874028104155,1024,1024
14,0347.jpg,0.05647683123282479,11324,200507,11324,200507,624.9443659484281,514.651624867538,639.988000418938,482.28392524949254,-15.043634470509915,32.367699618045435,35.69284125208208,1024,1024
15,0009.jpg,0.00414326833655512,2437,588183,2437,588183,516.3943372999589,327.06729585556013,488.18574831302504,540.5714122985534,28.208588986933876,-213.50411644299322,215.35954176849694,1024,1024
16,0646.jpg,0.0073119058011902605,3434,469645,3434,469645,571.1974373907979,502.03232382061736,420.91310670825834,567.7329259334178,150.28433068253952,-65.70060211280048,164.01813670043754,1024,1024
17,0672.jpg,0.009271758255073186,5433,585973,5433,585973,543.6882017301675,478.4143198969262,507.8388680024506,513.4708868838667,35.849333727716896,-35.05656698694048,50.14117686723224,1024,1024
18,0195.jpg,0.013961413124390015,2532,181357,2532,181357,501.59399684044234,514.9435229067931,555.9965923565123,570.0288602039072,-54.402595516069994,-55.085337297114165,77.42116496166895,1024,1024
19,0524.jpg,0.06785587778494291,37355,550505,37355,550505,404.94016865212154,555.5886494445188,546.2064994868348,302.5842199435064,-141.26633083471324,253.00442950101234,289.7713194480009,1024,1024
20,0690.jpg,0.011581391243891851,6430,555201,6430,555201,623.210730948678,528.1071539657854,561.3727136658615,511.195102314297,61.83801728281651,16.91205165148841,64.10895313864144,1024,1024
21,0048.jpg,0.010957467362203637,2779,253617,2779,253617,512.7794170564952,418.1694854264124,567.5872831868526,538.9401499110865,-54.80786613035741,-120.77066448467406,132.62524491903073,1024,1024
22,0506.jpg,0.011508196508618174,7096,616604,7096,616604,573.7206877113867,511.6371195039459,502.7536490194679,522.5638529753294,70.96703869191884,-10.9267334713835,71.80330135206151,1024,1024
23,0020.jpg,0.004229257060509704,2160,510728,2160,510728,442.8865740740741,550.75,483.9628647734215,493.85611127645245,-41.076290699347396,56.89388872354755,70.17247488655865,1024,1024
24,0551.jpg,0.16205740804400137,37714,232720,37714,232720,519.3905446253381,575.7030545685952,658.823062048814,544.9259410450327,-139.43251742347593,30.777113523562548,142.78885681974688,1024,1024
25,0704.jpg,0.008909431163744656,6151,690392,6151,690392,477.0169078198667,516.7021622500406,535.0622327605187,528.0999866742372,-58.045324940651994,-11.397824424196642,59.15378389478301,1024,1024
26,0334.jpg,0.043616505665675036,10439,239336,10439,239336,515.4443912252132,487.8272823067344,555.5874628137848,434.9251303606645,-40.143071588571615,52.902151946069864,66.40861297369678,1024,1024
27,0182.jpg,0.02639796025287276,3779,143155,3779,143155,541.7959777718974,494.75654935168035,491.3283434040027,477.0043239844923,50.467634367894675,17.752225367188032,53.49881890452291,1024,1024
28,0535.jpg,0.16141887710462857,60514,374888,60514,374888,544.9406748851505,509.64656112635095,592.4055397878833,659.0895894240413,-47.46486490273276,-149.44302829769032,156.79965595312683,1024,1024
29,0539.jpg,0.19721060765518483,62400,316413,62400,316413,534.1158493589744,539.9451602564103,628.2282143906856,463.65513743114224,-94.11236503171119,76.29002282526807,121.14992709259869,1024,1024
