,sample,iou,intersection,union,gt_area,segmentation_area,gt_x_center,gt_y_center,segmentation_x_center,segmentation_y_center,x_distance,y_distance,euclidean_distance,x_size,y_size
0,0306.jpg,0.0011140109549183535,1167,1047566,1167,1047566,551.3676092544987,509.3513281919452,511.50775416537,511.1981393057812,39.8598550891287,-1.8468111138359973,39.90261594202224,1024,1024
1,0425.jpg,0.011872672644114037,11985,1009461,11985,1009461,517.5425949103045,437.6881101376721,514.465222529647,505.7264332153496,3.0773723806574935,-68.03832307767749,68.10788227504696,1024,1024
2,0561.jpg,0.07398042077028967,37566,507783,37566,507783,654.4797955598148,441.1052813714529,703.2437300973054,498.5783572904174,-48.76393453749063,-57.47307591896447,75.3729113618661,1024,1024
3,0534.jpg,0.05308670799182731,47522,895177,47522,895177,536.5221581583266,572.3125920626236,502.67113654618026,556.7436115986001,33.85102161214638,15.568980464023525,37.25969426706488,1024,1024
4,0761.jpg,0.001547995062578831,1609,1039409,1609,1039409,367.7041640770665,322.37041640770667,511.15265405629543,513.9633830378609,-143.44848997922895,-191.59296663015425,239.34354835563116,1024,1024
5,0385.jpg,0.01560161197466897,10027,642690,10027,642690,526.7629400618331,460.5290715069313,433.49839113725125,515.2147505017971,93.26454892458185,-54.68567899486578,108.11475187612108,1024,1024
6,0447.jpg,0.009810395547139104,9211,938902,9211,938902,378.59211811963957,452.0273585929867,508.224004209172,510.56500571944673,-129.63188608953243,-58.53764712646006,142.23600817736508,1024,1024
7,0190.jpg,0.0032648525182895757,2550,781046,2550,781046,488.5854901960784,545.5411764705882,515.3855304297058,505.8008952097572,-26.800040233627385,39.74028126083101,47.93257880830117,1024,1024
8,0577.jpg,0.03998850405699849,29915,748090,29915,748090,429.73077051646334,484.5527327427712,495.9092355197904,515.2008421446617,-66.17846500332706,-30.64810940189051,72.93076058911517,1024,1024
9,0572.jpg,0.0490891872992187,32502,662101,32502,662101,447.6238385330133,553.0398129345887,520.6045799658964,523.1315826437357,-72.98074143288306,29.908230290852998,78.8713563926983,1024,1024
10,0458.jpg,0.009603319335463687,9184,956336,9184,956336,613.2473867595819,568.6842334494773,510.5668980358368,525.6418089458099,102.6804887237451,43.04242450366746,111.33702471191269,1024,1024
